feature_number,network,combined_ID,binary_ID,canopus_annotation,canopus_probability,chemontid,level,SUBCLASS,CHEMONT_STRING,level 1,level 2,level 3,level 4,level 5,level 6,level 7,level 8,characterization scores,C,H,N,O,P,S,NOSC,dG,inchi_binary,inchi_combined,simplified_makeup,DayNight,CCA,Dictyota,Pocillopora verrucosa,Porites lobata,Turf,number_exudate_organisms,exudate_type,lability
10003,324,Carbonyl compounds,N/A,Carbonyl compounds,0.82,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,20,37,1,9,0,0,-0.7999999999999998,83.1,3,N/A,CHON,Night,NA,NA,0.005283271464240732,NA,NA,1,Pocillopora verrucosa,labile
10042,5231,Primary amines,N/A,Primary amines,0.98,CHEMONTID:0002450,5,CHEMONTID:0002449,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449;CHEMONTID:0002450,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,Primary amines,NA,NA,NA,Bad quality,13,36,9,4,1,0,-0.4615384615384617,73.45384615384616,3,N/A,uncharacterized,Night,NA,NA,NA,NA,0.003499545397860499,1,Turf,labile
10312,80,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,20,34,0,9,0,0,-0.7999999999999998,83.1,3,N/A,CHO,Night,NA,NA,NA,1.9968227111457178e-4,NA,1,Porites lobata,labile
10632,165,Euphorbiasteroid,2,Carboxylic acid derivatives,0.98,CHEMONTID:0001093,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001093,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Carboxylic acid derivatives,NA,NA,NA,NA,Good,18,26,0,5,0,0,-0.8888888888888893,85.63333333333334,2,"InChI=1S/C32H40O8/c1-18-14-24-23(30(24,5)6)12-13-31(17-37-31)29(38-20(3)33)26-27(39-25(35)15-22-10-8-7-9-11-22)19(2)16-32(26,28(18)36)40-21(4)34/h7-11,14,19,23-24,26-27,29H,12-13,15-17H2,1-6H3/b18-14-/t19-,23-,24+,26+,27-,29-,31+,32+/m0/s1",CHO,Night,NA,0,NA,NA,NA,1,Dictyota,labile
10671,21,"trans-2-Butene-1,4-dicarboxylic acid",2,Amines,0.96,CHEMONTID:0002449,4,CHEMONTID:0000278,CHEMONTID:0000000;CHEMONTID:0004707;CHEMONTID:0000278;CHEMONTID:0002449,Organic compounds,Organic nitrogen compounds,Organonitrogen compounds,Amines,NA,NA,NA,NA,Good,14,27,1,4,0,0,-1.1428571428571432,92.87142857142858,2,"InChI=1S/C6H8O4/c7-5(8)3-1-2-4-6(9)10/h1-2H,3-4H2,(H,7,8)(H,9,10)/b2-1+",CHON,Night,NA,6.688474332540958e-9,NA,NA,NA,1,Dictyota,labile
10678,199,17-Phenyltrinorprostaglandin F2.alpha. cyclohexylamide,2,N-acyl amines,0.89,CHEMONTID:0001096,5,CHEMONTID:0000331,CHEMONTID:0000000;CHEMONTID:0000012;CHEMONTID:0003909;CHEMONTID:0000331;CHEMONTID:0001096,Organic compounds,Lipids and lipid-like molecules,Fatty Acyls,Fatty amides,N-acyl amines,NA,NA,NA,Good,24,44,4,4,0,0,-1,88.8,2,"InChI=1S/C29H43NO4/c31-24(18-17-22-11-5-3-6-12-22)19-20-26-25(27(32)21-28(26)33)15-9-1-2-10-16-29(34)30-23-13-7-4-8-14-23/h1,3,5-6,9,11-12,19-20,23-28,31-33H,2,4,7-8,10,13-18,21H2,(H,30,34)/b9-1-,20-19+/t24-,25+,26+,27-,28+/m0/s1",CHON,Night,NA,9.9010684144357e-5,NA,NA,NA,1,Dictyota,labile
10728,1969,Monocarboxylic acids and derivatives,N/A,Monocarboxylic acids and derivatives,0.82,CHEMONTID:0001137,4,CHEMONTID:0000265,CHEMONTID:0000000;CHEMONTID:0000264;CHEMONTID:0000265;CHEMONTID:0001137,Organic compounds,Organic acids and derivatives,Carboxylic acids and derivatives,Monocarboxylic acids and derivatives,NA,NA,NA,NA,Low probability,23,43,2,3,0,0,-1.3478260869565215,98.71304347826086,3,N/A,uncharacterized,Night,NA,NA,0.012466156614174639,NA,NA,1,Pocillopora verrucosa,labile
10755,1969,Carbonyl compounds,N/A,Carbonyl compounds,0.86,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Good,18,43,4,5,0,0,-1.166666666666667,93.55000000000001,3,N/A,CHON,Night,NA,NA,0.03783016120757531,NA,NA,1,Pocillopora verrucosa,labile
10774,2601,NA,N/A,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Good,19,26,7,4,0,1,0.26315789473684204,52.8,3,N/A,CHONS,Night,NA,NA,0.0028682661049294735,NA,NA,1,Pocillopora verrucosa,labile
10849,1969,Carbonyl compounds,N/A,Carbonyl compounds,0.85,CHEMONTID:0001831,4,CHEMONTID:0000323,CHEMONTID:0000000;CHEMONTID:0004603;CHEMONTID:0000323;CHEMONTID:0001831,Organic compounds,Organic oxygen compounds,Organooxygen compounds,Carbonyl compounds,NA,NA,NA,NA,Bad quality,18,43,4,5,0,0,-1.166666666666667,93.55000000000001,3,N/A,uncharacterized,Night,NA,NA,0.02034325711851964,NA,NA,1,Pocillopora verrucosa,labile
